metric;critical;variable;unit;model;scenario;region;period;min_red;min_yel;max_yel;max_red;ref_model;ref_scenario;ref_period;source/link to discussion;;;;;;;;;;
Carbon Management;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;World;2025;48.91;56.873;86.96;138.59;IEA CCUS 2024;;;Further information and place for discussion:;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Latin America (R10);2025;10.60;10.60;11.20;12.60;IEA CCUS 2024;;;https://gitlab.pik-potsdam.de/REMIND/committed/-/issues/1;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Rest of Asia (R10);2025;0.00;1.65;3.94;5.43;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Africa (R10);2025;0.00;0.00;0.00;0.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Europe (R10);2025;1.86;2.63;3.70;4.40;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Middle East (R10);2025;3.70;5.85;8.50;9.66;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Reforming Economies (R10);2025;0.00;0.00;0.00;0.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Pacific OECD (R10);2025;9.20;10.21;17.95;33.66;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;China+ (R10);2025;3.35;3.80;4.55;5.25;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;India+ (R10);2025;0.00;0.00;0.21;0.70;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;North America (R10);2025;20.20;22.13;36.91;66.89;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;China;2025;3.35;3.80;4.55;5.25;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Indonesia;2025;0.00;0.00;0.28;0.93;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;India;2025;0.00;0.00;0.21;0.70;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Pakistan;2025;;;;0.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Viet Nam;2025;;;;0.00;IEA CCUS 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;World;2030;48.91;63.18;179.09;416.27;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Latin America (R10);2030;10.60;10.60;13.60;20.60;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Rest of Asia (R10);2030;0;1.65;6.79;14.934;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Africa (R10);2030;0.00;0.00;0.48;1.60;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Europe (R10);2030;1.86;3.88;27.83;79.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Middle East (R10);2030;3.70;7.35;14.20;21.66;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Reforming Economies (R10);2030;0.00;0.00;0.00;0.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Pacific OECD (R10);2030;9.20;10.27;27.66;65.78;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;China+ (R10);2030;3.35;4.80;7.15;9.25;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;India+ (R10);2030;0.00;0.00;0.21;0.70;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;North America (R10);2030;20.20;24.63;81.17;202.75;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;China;2030;3.35;4.80;7.15;9.25;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Indonesia;2030;0.00;0.00;2.14;7.14;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;India;2030;0.00;0.00;0.21;0.70;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Pakistan;2030;;;;0.00;IEA CCUS 2024;;;;;;;;;;;;;
absolute;yes;Carbon Capture|Storage;Mt CO2/yr;;;Viet Nam;2030;;;;0.00;IEA CCUS 2024;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nuclear;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;World;2030;0.00;299.72;;436.29;IAEA-PRIS;;;Further information and place for discussion:;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Latin America (R10);2030;0.00;4.06;;6.44;IAEA-PRIS;;;https://gitlab.pik-potsdam.de/REMIND/committed/-/issues/2;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Rest of Asia (R10);2030;0.00;23.26;;33.92;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Africa (R10);2030;0.00;1.48;;6.25;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Europe (R10);2030;0.00;84.18;;115.01;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Middle East (R10);2030;0.00;4.99;;7.21;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Reforming Economies (R10);2030;0.00;34.04;;48.47;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;Pacific OECD (R10);2030;0.00;19.80;;27.40;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;China+ (R10);2030;0.00;44.82;;82.32;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;India+ (R10);2030;0.00;5.54;;12.32;IAEA-PRIS;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Nuclear;GW;;;North America (R10);2030;0.00;77.56;;96.95;IAEA-PRIS;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Hydro;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;World;2030;1088.26;1237.24;1316.39;;IEA-HSMR;;;IEA Hydropower Outlook;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Latin America (R10);2030;184.90;200.00;205.60;;IEA-HSMR;;;https://www.iea.org/data-and-statistics/data-tools/hydropower-data-explorer;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Rest of Asia (R10);2030;54.80;76.30;95.10;;IEA-HSMR;;;excluding pumped storage;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Africa (R10);2030;25.50;40.60;49.50;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Europe (R10);2030;176.94;188.24;200.84;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Middle East (R10);2030;11.42;14.02;15.57;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Reforming Economies (R10);2030;62.90;66.18;71.68;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Pacific OECD (R10);2030;109.90;114.90;117.60;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;China+ (R10);2030;335.40;390.60;402.90;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;India+ (R10);2030;45.10;63.30;72.10;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;North America (R10);2030;81.40;83.10;85.50;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;China;2030;335.40;390.60;402.90;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Indonesia;2030;6.00;10.20;14.20;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;India;2030;45.10;63.30;72.10;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Pakistan;2030;9.90;16.40;19.90;;IEA-HSMR;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Hydro;GW;;;Viet Nam;2030;18.10;19.30;20.00;;IEA-HSMR;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Wind;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2025;1160.139;1299.639;;;GWEC;;;GWEC Outlook, regional data based on report: https://gwec.net/global-wind-report-2024/;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;Europe (R10);2025;295.397;318.447;;;GWEC;;;"outlook takes into account announcements of signed PPAs, project development timelines and the
ability of wind to secure further capacity in upcoming auctions and tenders.";;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;China;2025;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;India;2025;;;;;;;;IRENA outlook;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;World;2030;1737.639;2175.639;2800.00;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;Europe (R10);2030;413.747;509.047;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;China;2030;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind;GW;;;India;2030;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2025;1063.977;1182.477;;3040.00;GWEC, IRENA;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;Europe (R10);2025;256.815;275.315;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;China;2025;473.325;543.325;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;India;2025;49.136;53.536;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;World;2030;1534.977;1887.477;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;Europe (R10);2030;339.665;404.015;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;China;2030;728.325;913.325;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Onshore;GW;;;India;2030;65.536;77.536;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;World;2025;96.162;117.162;;494.00;GWEC, IRENA;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;Europe (R10);2025;38.582;43.132;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;China;2025;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;India;2025;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;World;2030;202.662;288.162;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;Europe (R10);2030;74.082;105.032;;;GWEC;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;China;2030;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Wind|Offshore;GW;;;India;2030;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Solar;;;;;;;;;;;;;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2025;1887.43;1912.93;;;BNEF;;;BNEF https://about.bnef.com/blog/1q-2024-global-pv-market-outlook/;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;China;2025;828.34;946.84;;;BNEF;;;capacity addition from 2024 - 2030;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;Europe (R10);2025;366.22;340.22;;;BNEF;;;"min_yel = cap_2023 + 50% CapAdd_BNEF
 ";;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;India;2025;105.11;90.61;;;BNEF;;;min_red = cap_2023 + 7 * CapAdd (2022);;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;World;2030;3147.43;3512.43;;;BNEF;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;China;2030;1343.34;1952.84;;;BNEF;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;Europe (R10);2030;601.22;522.72;;;BNEF;;;;;;;;;;;;;
absolute;yes;Capacity|Electricity|Solar;GW;;;India;2030;185.11;170.11;;;BNEF;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
